time,PM2.5,PM10,temperature,humidity
2019-03-12 15:45:48.808907,10.8,11.8,25.0,68.0
2019-03-12 16:45:51.454505,8.6,9.3,26.0,64.0
2019-03-12 17:45:56.766252,17.6,19.1,27.0,61.0
2019-03-12 18:46:02.256138,8.6,9.5,27.0,59.0
2019-03-12 19:46:04.924692,16.0,17.5,27.0,63.0
2019-03-12 20:46:07.667051,16.3,17.8,27.0,68.0
2019-03-12 21:46:10.472900,17.5,20.7,27.0,72.0
2019-03-12 22:46:15.735402,19.5,24.8,27.0,75.0
2019-03-12 23:46:18.404093,17.6,19.5,27.0,76.0
2019-03-13 00:46:23.661636,18.8,20.8,27.0,77.0
2019-03-13 05:04:22.319350,14.6,15.9,27.0,78.0
2019-03-13 06:04:25.156348,16.1,17.8,27.0,79.0
2019-03-13 07:04:33.008354,15.4,16.8,27.0,78.0
2019-03-13 08:04:50.930722,18.3,20.2,28.0,79.0
2019-03-13 09:19:12.339358,12.2,13.4,28.0,77.0
2019-03-13 10:25:32.750793,7.5,8.2,27.0,75.0
2019-03-13 11:25:45.679637,8.7,9.5,26.0,76.0
2019-03-13 12:17:48.706256,8.1,8.9,27.0,74.0
2019-03-13 13:17:52.937988,7.9,8.7,29.0,73.0
2019-03-13 14:18:02.790481,8.2,8.9,28.0,75.0
2019-03-13 15:39:09.776596,5.5,6.0,24.0,66.0
2019-03-13 16:39:15.035519,3.9,4.2,25.0,71.0
2019-03-13 17:39:17.629876,7.2,8.8,26.0,68.0
2019-03-13 20:37:54.587116,12.0,14.5,27.0,78.0
2019-03-13 20:40:13.140659,12.7,14.1,27.0,78.0
2019-03-13 21:00:16.356824,11.2,12.4,27.0,78.0
2019-03-13 22:00:21.596178,11.7,16.0,27.0,79.0
2019-03-13 23:00:31.751450,11.8,13.2,27.0,80.0
2019-03-14 00:00:34.426318,12.6,14.6,27.0,81.0
2019-03-14 01:00:39.693562,12.6,16.5,27.0,82.0
2019-03-14 04:55:26.256586,13.7,15.2,27.0,82.0
2019-03-14 05:55:36.583353,12.5,14.5,27.0,81.0
2019-03-14 07:40:19.523357,13.2,14.6,28.0,81.0
2019-03-14 07:48:14.093305,13.2,14.6,28.0,81.0
2019-03-14 07:49:25.306233,12.7,14.0,28.0,81.0
2019-03-14 08:14:49.809872,11.7,13.0,28.0,81.0
2019-03-14 09:15:21.689766,13.4,14.9,28.0,80.0
2019-03-14 10:15:35.917128,14.6,16.4,28.0,79.0
2019-03-14 10:47:26.021077,16.2,19.4,29.0,79.0
2019-03-14 11:00:59.648781,15.8,17.6,29.0,79.0
2019-03-14 12:16:03.504318,14.1,15.4,29.0,76.0
2019-03-14 13:16:20.179403,12.1,13.4,29.0,75.0
2019-03-14 14:27:06.946686,9.9,10.8,29.0,73.0
2019-03-14 15:28:52.704138,9.1,10.0,29.0,72.0
2019-03-14 16:29:03.568856,9.1,10.0,24.0,65.0
2019-03-14 17:29:16.667609,3.6,3.9,22.0,64.0
2019-03-14 18:29:27.751571,3.9,4.2,25.0,68.0
2019-03-14 19:45:49.713655,5.6,6.2,27.0,72.0
2019-03-14 20:46:08.569503,5.1,5.7,28.0,75.0
2019-03-14 21:46:28.288067,5.6,6.4,28.0,76.0
2019-03-14 22:46:50.515415,4.9,5.5,28.0,77.0
2019-03-14 23:46:59.094387,4.7,5.2,28.0,78.0
2019-03-15 00:47:13.735478,4.9,9.3,28.0,79.0
2019-03-15 01:47:22.993911,5.4,5.9,28.0,79.0
2019-03-15 02:47:32.324785,5.7,6.2,28.0,79.0
2019-03-15 03:47:41.333284,5.7,8.6,28.0,79.0
2019-03-15 04:47:50.573118,5.8,6.3,28.0,79.0
2019-03-15 05:47:59.749345,6.9,8.4,28.0,79.0
2019-03-15 06:48:11.562514,8.7,9.5,28.0,79.0
2019-03-15 08:24:32.534484,8.3,9.1,28.0,78.0
2019-03-15 09:24:47.113536,7.6,8.3,29.0,77.0
2019-03-15 10:24:56.599204,7.8,8.5,29.0,76.0
2019-03-15 11:25:05.772657,9.5,10.3,29.0,74.0
2019-03-15 12:25:17.687672,8.1,8.9,29.0,71.0
2019-03-15 14:14:25.039322,7.0,7.6,28.0,69.0
2019-03-15 14:49:07.405371,8.0,8.7,28.0,68.0
2019-03-15 14:50:30.267767,7.5,8.2,28.0,68.0
2019-03-15 14:56:00.703642,6.9,7.5,28.0,68.0
2019-03-15 14:58:44.140058,7.0,7.6,28.0,67.0
2019-03-15 15:02:29.140039,7.8,8.4,28.0,67.0
2019-03-15 15:04:41.843748,7.2,7.9,28.0,68.0
2019-03-15 15:08:09.028201,6.9,7.5,28.0,68.0
2019-03-15 16:00:09.406910,5.8,6.2,27.0,67.0
2019-03-15 17:18:38.112947,8.5,9.4,28.0,65.0
2019-03-15 19:47:21.571158,12.8,14.0,28.0,72.0
2019-03-15 20:00:06.502060,14.4,16.1,28.0,73.0
2019-03-15 21:00:08.496797,15.6,17.2,28.0,74.0
2019-03-15 22:11:20.142240,16.0,17.9,28.0,75.0
2019-03-15 23:00:16.812196,16.9,18.6,28.0,77.0
2019-03-16 00:00:06.768073,17.7,19.5,28.0,78.0
2019-03-16 01:00:26.560513,17.4,19.1,28.0,79.0
2019-03-16 02:00:13.661331,18.2,20.2,28.0,79.0
2019-03-16 03:00:06.777556,16.4,18.0,28.0,80.0
2019-03-16 05:42:00.638817,17.4,19.0,28.0,80.0
2019-03-16 06:15:06.245186,16.4,17.9,28.0,80.0
2019-03-16 07:00:10.997692,18.3,20.0,28.0,80.0
2019-03-16 08:00:15.676506,18.9,20.7,28.0,79.0
2019-03-16 09:00:05.198684,19.0,20.8,28.0,79.0
2019-03-16 10:00:07.744732,19.3,21.1,28.0,78.0
2019-03-16 11:00:05.150897,19.2,21.0,27.0,77.0
2019-03-16 12:00:05.584670,19.2,21.0,28.0,78.0
2019-03-16 13:00:11.116290,19.2,20.9,28.0,80.0
2019-03-16 14:00:07.825818,19.4,21.1,25.0,73.0
2019-03-16 15:00:13.058485,19.3,21.0,27.0,76.0
2019-03-16 16:00:10.611633,19.3,21.0,26.0,76.0
2019-03-16 17:00:10.801465,18.9,20.6,27.0,75.0
2019-03-16 18:00:10.484882,18.8,20.5,28.0,76.0
2019-03-16 19:00:05.950537,18.7,20.4,28.0,76.0
2019-03-16 20:00:05.940194,18.7,20.4,28.0,77.0
2019-03-16 21:00:05.272444,18.7,20.4,28.0,77.0
2019-03-16 22:00:05.633950,18.8,20.5,28.0,77.0
2019-03-16 23:00:05.986998,18.6,20.2,28.0,77.0
2019-03-17 00:00:07.912739,18.5,20.2,28.0,77.0
2019-03-17 01:00:05.312527,18.8,20.5,28.0,77.0
2019-03-17 02:00:05.603434,19.1,20.8,28.0,77.0
2019-03-17 03:00:08.494675,19.0,20.6,28.0,77.0
2019-03-17 04:00:08.380854,19.1,20.8,28.0,77.0
2019-03-17 05:00:05.783467,19.0,20.7,28.0,77.0
2019-03-17 06:00:10.290127,18.7,20.4,28.0,77.0
2019-03-17 07:00:08.113627,18.9,20.7,28.0,77.0
2019-03-17 08:00:05.513660,19.1,20.8,28.0,77.0
2019-03-17 09:00:05.945407,18.8,20.5,29.0,77.0
2019-03-17 10:00:10.344434,18.6,20.3,29.0,78.0
2019-03-17 11:00:08.344598,18.4,20.0,29.0,77.0
2019-03-17 12:00:10.947185,18.1,19.7,29.0,76.0
2019-03-17 13:00:05.963579,17.9,19.5,29.0,76.0
2019-03-17 14:00:05.430350,18.1,19.8,30.0,76.0
2019-03-17 15:00:10.881221,18.3,20.0,30.0,75.0
2019-03-17 16:00:07.634905,18.5,20.3,29.0,75.0
2019-03-17 17:00:08.374474,18.5,20.2,29.0,74.0
2019-03-17 18:00:05.785508,18.1,19.8,29.0,74.0
2019-03-17 19:00:10.303614,18.2,19.8,29.0,11.0
2019-03-17 20:00:10.863681,18.0,19.6,29.0,77.0
2019-03-17 21:00:10.471552,18.4,20.0,29.0,79.0
2019-03-17 22:00:05.363970,18.6,20.2,29.0,80.0
2019-03-17 23:00:05.722629,18.5,20.1,28.0,79.0
2019-03-18 00:00:05.102068,18.7,20.4,28.0,80.0
2019-03-18 01:00:05.489920,19.0,20.8,28.0,80.0
2019-03-18 02:00:05.863857,19.3,21.2,28.0,80.0
2019-03-18 03:00:05.070387,19.4,21.3,28.0,80.0
2019-03-18 04:00:05.432051,19.3,21.1,28.0,81.0
2019-03-18 05:00:05.295319,19.5,21.3,28.0,81.0
2019-03-18 06:00:05.773584,19.1,20.8,28.0,81.0
2019-03-18 07:00:05.223691,19.3,21.1,29.0,81.0
2019-03-18 08:00:08.017041,19.1,20.9,29.0,81.0
2019-03-18 09:00:20.498216,18.7,20.4,29.0,80.0
2019-03-18 10:00:35.759471,18.3,20.0,29.0,78.0
2019-03-18 11:00:16.053312,18.4,20.1,29.0,78.0
2019-03-18 12:00:05.792829,18.5,20.2,28.0,79.0
